,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10244,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19397900.0,19397900.0,False,,1,,,,2023-06-10T04:25:00.000Z,25925.772614051657,11407022093.91489,-4.5133,-1.51633493,-1.94701935,-4.45055103,-5.4692368,-14.09033232,25.64674014,502905544590.1126,46.381,544441224895.08,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
1,1027,Ethereum,ETH,ethereum,6986,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120227838.14401524,120227838.14401524,True,,2,,,,2023-06-10T04:25:00.000Z,1805.9547166113857,4866325862.717356,4.6218,-1.22477072,-1.77183219,-4.90231208,-1.12539117,-6.12042936,21.97645983,217126031364.1746,20.0393,217126031364.17,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
2,825,Tether,USDT,tether,55283,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83356513307.21814,86086529362.37724,True,,3,,,,2023-06-10T04:25:00.000Z,1.0003717171173057,20484582725.60965,12.1697,0.02675588,0.02063398,-0.00157284,-0.03597071,-0.03505028,-0.95329533,83387498350.05334,7.6961,86118529198.91,,2023-06-10T04:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-10 11:27:43.848611
3,1839,BNB,BNB,bnb,1454,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155854865.9814956,155854865.9814956,False,,4,,,,2023-06-10T04:25:00.000Z,240.89652723372558,611460970.9946272,11.0657,-4.98174883,-7.49701005,-21.19632268,-22.8143981,-26.50151073,-13.73548601,37544895967.420006,3.4626,37544895967.42,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
4,3408,USD Coin,USDC,usd-coin,12903,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28334650111.887634,28334650111.887634,False,,5,,,,2023-06-10T04:25:00.000Z,1.0003959480025806,2907113104.4583693,4.6049,0.02763005,0.03266042,0.04135312,0.04078703,0.0410897,1.62494393,28345869160.003254,2.6142,28345869160.0,,2023-06-10T04:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-10 11:27:43.848611
5,52,XRP,XRP,xrp,961,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51987017573.0,99988884267.0,False,,6,,,,2023-06-10T04:25:00.000Z,0.5117644957773385,1415777481.1039214,54.5552,-2.98261505,-2.52252782,-2.51531188,19.3125153,-0.920829,39.67665902,26605109835.21398,2.4605,51176449577.73,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
6,2010,Cardano,ADA,cardano,834,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34904023504.49,35873953355.056,False,,7,,,,2023-06-10T04:25:00.000Z,0.25922929374462916,681340618.6289027,188.4692,-8.18870396,-18.89328581,-31.19694143,-29.04696008,-35.38759217,-15.79179355,9048145361.914879,0.8345,11665318218.51,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
7,74,Dogecoin,DOGE,dogecoin,724,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139704546383.7053,139704546383.7053,True,,8,,,,2023-06-10T04:25:00.000Z,0.06456567349347325,439766759.0862694,160.5877,-6.13609117,-4.79876552,-10.85552899,-11.10484847,-23.78396745,-3.22604191,9020118127.364105,0.8364,9020118127.36,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
8,1958,TRON,TRX,tron,771,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,90129186567.78513,90129229262.22662,True,,9,71659659264.0,4958156837.835232,,2023-06-10T04:25:00.000Z,0.06919034905774503,351217488.7942368,121.2655,-2.66805303,-10.51398382,-17.09611988,0.05658707,2.90649207,16.43580022,6236069878.915677,0.5751,6236072832.96,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
9,2,Litecoin,LTC,litecoin,921,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73110751.72743528,84000000.0,False,,10,,,,2023-06-10T04:25:00.000Z,81.97727054085301,520664679.68436015,43.2683,-5.58442339,-6.48041542,-13.40733262,2.00179439,-14.92455359,17.90762009,5993419873.805099,0.5558,6886090725.43,,2023-06-10T04:25:00.000Z,,,,,,2023-06-10 11:27:43.848611
